SI,UIY,UIZ,CI,Name
0.5149995384944762,0.3583982390271057,0.8760214746245226,1.348767537522455,cgg
1.1977112743446927,1.307903905024038,1.030857403719299,0.9278208195594997,dsm
0.8707603510630487,0.8787830497258506,0.9393758763769348,1.2459372701080509,dzx
1.4259939495875884,1.1315836994912671,1.2656829876461535,0.8573415363429818,fyj
0.6282909346493408,0.6600038964274355,0.9230332042419169,1.3632326976756683,fy
0.5470181966323048,0.2912127757699976,0.916389319346904,1.3429145173494361,ghc
1.144670334250032,1.2985478172689042,1.0220446012491229,0.9775165954971703,jba
1.0165916746865282,0.9640039740128891,1.1826482115219485,1.1493428466609021,jyx
0.9208410009823484,0.4500604897740549,1.2302078610158438,1.2440361232113706,lbn
0.5865639847917057,0.593246594773177,0.8640553214528477,1.5341056603208338,lcy
0.6437731973016013,0.557139022417929,0.9893650866290916,1.3096633711107426,lxq
1.1707680239789955,0.8376561688319644,1.2765931281584653,0.9932078271758907,lyb
0.8068747760090849,0.7557236299050197,1.0220713507420414,1.1925267600366338,lyg
0.9842878806068489,0.9173910972271097,1.0866836273590805,1.2201485531706118,pja
0.856984965836469,0.5439427097761711,1.2061969621628232,1.2612127082062123,plm
0.7330573363336399,0.626604773921554,0.9408235332316675,1.3311228713593506,st
1.1192213364323067,0.6779179318729918,1.4680966058093918,0.9194659279561034,sxy
1.2342642665223729,1.1180957101213074,1.094756763371102,0.9320813050094674,tyue
1.501579958855336,1.1365021589265314,1.2935828480196125,0.7562609754891341,ty
0.8123242770045171,0.4734471401202339,1.1514521054062838,1.2642337938562684,wcf
1.0340739068523825,0.8455439272951524,1.0647624427473412,1.0796332185882038,wk
0.928187293376024,0.600139863322876,1.005374543814236,1.4029106048871487,wxf
0.6943258638959309,0.3404745082552597,1.0507103154210555,1.416775584880891,yhx
1.1200325245881235,0.7577685405170232,1.2461871766870207,0.9870098438095802,zbk
0.6203933717287498,0.7120144112635788,0.898398079951668,1.3246561584622438,zd
1.1227994236791765,0.8221575379336161,1.178629458351952,1.2236500505193768,zfb
1.1247961749515718,1.0603698178862797,1.2444916752815578,0.8737565117404682,zkx
0.8884720197892182,0.9218745195355229,1.0039137728425616,1.0796216981728186,zq
0.9454835448037673,1.0115517114094867,0.8754289175195353,1.2544959190193992,zwj
1.0508511018280766,1.3044227104359547,1.0579846089671412,0.8537125706511819,zym
1.5881730193575543,0.7039806858450001,1.4123400240759032,0.6021914551810623,zy
